Caslib,Description,Path,TableName,NRows,NCols
ACADEMIC,,/shared/courses/ACADEMIC/,AAEM51_TRANSACTIONS,459258,4
ACADEMIC,,/shared/courses/ACADEMIC/,AATESTFILE001,506,1
ACADEMIC,,/shared/courses/ACADEMIC/,ABSENTEEISM,740,21
ACADEMIC,,/shared/courses/ACADEMIC/,ACACIA,12969,27
ACADEMIC,,/shared/courses/ACADEMIC/,ACCEPTS,5837,22
ACADEMIC,,/shared/courses/ACADEMIC/,ACCIDENTAL_DRUG_DEATHS_2012_2018,5105,47
ACADEMIC,,/shared/courses/ACADEMIC/,AIR_CARRIER_T100_SEGEMENT_17_20,1433778,28
ACADEMIC,,/shared/courses/ACADEMIC/,AIRLINCOLNDATA,10000,17
ACADEMIC,,/shared/courses/ACADEMIC/,AIRLINCOLNDATA_SCORE,1000,17
ACADEMIC,,/shared/courses/ACADEMIC/,AIRLINCOLNDATA2,10000,16
ACADEMIC,,/shared/courses/ACADEMIC/,AIRLINE_FINANCIAL_SCHEDULE_2019,4591,49
ACADEMIC,,/shared/courses/ACADEMIC/,AIRLINE_ONTIME_2019,2401384,29
ACADEMIC,,/shared/courses/ACADEMIC/,AIRLINE_SURVEY_2020Q1,5358634,18
ACADEMIC,,/shared/courses/ACADEMIC/,AIRLINEFINANCIALSALL,45,4
ACADEMIC,,/shared/courses/ACADEMIC/,AMESHOUSING3,300,32
ACADEMIC,,/shared/courses/ACADEMIC/,BANKMARKETING,4521,17
ACADEMIC,,/shared/courses/ACADEMIC/,BILLIONTONDATA,4471091,15
ACADEMIC,,/shared/courses/ACADEMIC/,CAR_SCORE,48707,33
ACADEMIC,,/shared/courses/ACADEMIC/,CARDATA,72983,34
ACADEMIC,,/shared/courses/ACADEMIC/,CHOC_ENTERPRISE_CUSTOMER,90254,7
ACADEMIC,,/shared/courses/ACADEMIC/,CHOC_ENTERPRISE_ITEM,379,5
ACADEMIC,,/shared/courses/ACADEMIC/,CHOC_ENTERPRISE_ORDERS,491826,28
ACADEMIC,,/shared/courses/ACADEMIC/,CHOCOLATE_ENTERPRISE_REPORTING,491826,38
ACADEMIC,,/shared/courses/ACADEMIC/,CONSUMER_AIRFARE_REPORT_96_20,99028,18
ACADEMIC,,/shared/courses/ACADEMIC/,CREDITCARD_MARKETING,18000,18
ACADEMIC,,/shared/courses/ACADEMIC/,CS_ACCEPTS,3000,26
ACADEMIC,,/shared/courses/ACADEMIC/,CS_REJECTS,1500,26
ACADEMIC,,/shared/courses/ACADEMIC/,DIAGNOSTICS_SERVER_SENSORS,1647,12
ACADEMIC,,/shared/courses/ACADEMIC/,EDA_DEPARTMENTSTORE,3000,5
ACADEMIC,,/shared/courses/ACADEMIC/,ENPLANEMENTS,48,3
ACADEMIC,,/shared/courses/ACADEMIC/,FAA_AIDS_INCIDENT_REPORTS_00_19,30640,24
ACADEMIC,,/shared/courses/ACADEMIC/,FEMA_DISASTER_DECLARATIONS,913451,24
ACADEMIC,,/shared/courses/ACADEMIC/,FINANCIALSDETAILED,48,7
ACADEMIC,,/shared/courses/ACADEMIC/,FOOD_INSPECTIONS_CHICAGO,83077,16
ACADEMIC,,/shared/courses/ACADEMIC/,FS31HIERARCHY,3552,6
ACADEMIC,,/shared/courses/ACADEMIC/,FTES,48,2
ACADEMIC,,/shared/courses/ACADEMIC/,HOTEL_BOOKING_DEMAND_DATASET,119390,32
ACADEMIC,,/shared/courses/ACADEMIC/,MARKET,30,2
ACADEMIC,,/shared/courses/ACADEMIC/,NATIONAL_WELFARE_DATA,2040,74
ACADEMIC,,/shared/courses/ACADEMIC/,NATIONAL_WELFARE_DATA_REFINED,2040,28
ACADEMIC,,/shared/courses/ACADEMIC/,NST-EST2019-ALLDATA,57,151
